Date,Player_1,Player_2,Winner
2015-02-11,Krajinovic F.,Johnson S.,Johnson S.
2015-02-11,Krajicek A.,Karlovic I.,Krajicek A.
2015-02-11,Donaldson J.,Querrey S.,Querrey S.
2015-02-11,Nishikori K.,Harrison R.,Nishikori K.
2015-02-12,Dodig I.,Isner J.,Isner J.
2015-02-12,Tomic B.,Dolgopolov O.,Tomic B.
2015-02-12,Kudla D.,Young D.,Young D.
2015-02-12,Johnson S.,Brown D.,Johnson S.
2015-02-13,Groth S.,Anderson K.,Anderson K.
2015-02-13,Young D.,Tomic B.,Young D.
2015-02-13,Johnson S.,Anderson K.,Anderson K.
2015-02-14,Nishikori K.,Krajicek A.,Nishikori K.
2015-02-14,Isner J.,Querrey S.,Querrey S.
2015-02-14,Anderson K.,Young D.,Anderson K.
2015-02-15,Querrey S.,Nishikori K.,Nishikori K.
2015-02-15,Nishikori K.,Anderson K.,Nishikori K.
2015-02-09,Rosol L.,Bolelli S.,Bolelli S.
2015-02-09,Bautista R.,Zverev A.,Bautista R.
2015-02-09,Gulbis E.,Thiem D.,Thiem D.
2015-02-09,Dimitrov G.,Mathieu P.H.,Dimitrov G.
2015-02-09,Goffin D.,Muller G.,Muller G.
2015-02-10,Pospisil V.,Kohlschreiber P.,Pospisil V.
2015-02-10,Granollers M.,Stakhovsky S.,Stakhovsky S.
2015-02-10,Simon G.,Sousa J.,Simon G.
2015-02-10,Kuznetsov An.,Raonic M.,Raonic M.
2015-02-10,Berdych T.,Kamke T.,Berdych T.
2015-02-10,Roger-Vasselin E.,Monfils G.,Monfils G.
2015-02-11,Seppi A.,Haase R.,Seppi A.
2015-02-11,Istomin D.,Garcia-Lopez G.,Garcia-Lopez G.
2015-02-11,Murray A.,Mahut N.,Murray A.
2015-02-11,Huta Galung J.,Wawrinka S.,Wawrinka S.
2015-02-11,Stakhovsky S.,Thiem D.,Stakhovsky S.
2015-02-11,Bautista R.,Monfils G.,Monfils G.
2015-02-11,Muller G.,Dimitrov G.,Muller G.
2015-02-12,Chardy J.,Simon G.,Simon G.
2015-02-12,Berdych T.,Seppi A.,Berdych T.
2015-02-12,Pospisil V.,Murray A.,Murray A.
2015-02-12,Wawrinka S.,Garcia-Lopez G.,Wawrinka S.
2015-02-12,Bolelli S.,Raonic M.,Raonic M.
2015-02-13,Berdych T.,Monfils G.,Berdych T.
2015-02-13,Murray A.,Simon G.,Simon G.
2015-02-13,Wawrinka S.,Muller G.,Wawrinka S.
2015-02-13,Stakhovsky S.,Raonic M.,Raonic M.
2015-02-14,Berdych T.,Simon G.,Berdych T.
2015-02-14,Raonic M.,Wawrinka S.,Wawrinka S.
2015-02-15,Wawrinka S.,Berdych T.,Wawrinka S.
2015-02-09,Vesely J.,Cuevas P.,Cuevas P.
2015-02-09,Ramos-Vinolas A.,Clezar G.,Ramos-Vinolas A.
2015-02-09,Rola B.,Almagro N.,Almagro N.
2015-02-10,Bagnis F.,Delbonis F.,Bagnis F.
2015-02-10,Lorenzi P.,Schwartzman D.,Schwartzman D.
2015-02-10,De Bakker T.,Monaco J.,De Bakker T.
2015-02-10,Carreno-Busta P.,Souza J.,Souza J.
2015-02-10,Lajovic D.,Andujar P.,Lajovic D.
2015-02-10,Gonzalez M.,Verdasco F.,Verdasco F.
2015-02-10,Giraldo S.,Coppejans K.,Giraldo S.
2015-02-10,Bellucci T.,Klizan M.,Klizan M.
2015-02-10,Berlocq C.,Pella G.,Berlocq C.
2015-02-11,Ramos-Vinolas A.,Mayer L.,Mayer L.
2015-02-11,Almagro N.,Robredo T.,Almagro N.
2015-02-12,Berlocq C.,Giraldo S.,Giraldo S.
2015-02-12,Fognini F.,Schwartzman D.,Fognini F.
2015-02-12,De Bakker T.,Vanni L.,Vanni L.
2015-02-12,Lajovic D.,Verdasco F.,Lajovic D.
2015-02-13,Klizan M.,Souza J.,Souza J.
2015-02-13,Vanni L.,Lajovic D.,Vanni L.
2015-02-13,Mayer L.,Souza J.,Souza J.
2015-02-13,Cuevas P.,Almagro N.,Cuevas P.
2015-02-14,Fognini F.,Giraldo S.,Giraldo S.
2015-02-14,Vanni L.,Souza J.,Vanni L.
2015-02-14,Giraldo S.,Cuevas P.,Cuevas P.
2015-02-15,Cuevas P.,Vanni L.,Cuevas P.
2015-02-16,Lacko L.,Kudla D.,Kudla D.
2015-02-16,Dolgopolov O.,Gabashvili T.,Dolgopolov O.
2015-02-17,Brown D.,Karlovic I.,Karlovic I.
2015-02-17,Tomic B.,Jaziri M.,Tomic B.
2015-02-17,Robert S.,Troicki V.,Troicki V.
2015-02-17,Rublev A.,Sela D.,Rublev A.
2015-02-17,Krajinovic F.,Kokkinakis T.,Kokkinakis T.
2015-02-17,Mannarino A.,Quigley E.,Mannarino A.
2015-02-17,Sijsling I.,Nishioka Y.,Nishioka Y.
2015-02-17,Smyczek T.,Kozlov S.,Smyczek T.
2015-02-17,Dodig I.,Young D.,Young D.
2015-02-17,Lu Y.H.,Groth S.,Lu Y.H.
2015-02-17,Smith J.P.,Anderson K.,Anderson K.
2015-02-18,Matosevic M.,Isner J.,Matosevic M.
2015-02-18,Kudla D.,Mannarino A.,Mannarino A.
2015-02-18,Karlovic I.,Kokkinakis T.,Karlovic I.
2015-02-18,Rublev A.,Johnson S.,Johnson S.
2015-02-19,Lu Y.H.,Anderson K.,Lu Y.H.
2015-02-19,Gonzalez A.,Young D.,Young D.
2015-02-19,Dolgopolov O.,Smyczek T.,Dolgopolov O.
2015-02-19,Matosevic M.,Nishioka Y.,Nishioka Y.
2015-02-20,Tomic B.,Troicki V.,Tomic B.
2015-02-20,Dolgopolov O.,Young D.,Young D.
2015-02-20,Tomic B.,Nishioka Y.,Tomic B.
2015-02-20,Lu Y.H.,Mannarino A.,Mannarino A.
2015-02-21,Karlovic I.,Johnson S.,Karlovic I.
2015-02-21,Tomic B.,Young D.,Young D.
2015-02-22,Karlovic I.,Mannarino A.,Karlovic I.
2015-02-22,Young D.,Karlovic I.,Karlovic I.
2015-02-16,Stakhovsky S.,Rosol L.,Stakhovsky S.
2015-02-16,Istomin D.,Coric B.,Coric B.
2015-02-17,Thiem D.,Sousa J.,Thiem D.
2015-02-17,Golubev A.,Kuznetsov An.,Kuznetsov An.
2015-02-17,Chardy J.,Guez D.,Chardy J.
2015-02-17,Haase R.,Pospisil V.,Pospisil V.
2015-02-17,Struff J.L.,Mahut N.,Struff J.L.
2015-02-17,Zverev A.,Monfils G.,Monfils G.
2015-02-18,Goffin D.,Janowicz J.,Goffin D.
2015-02-18,Vanni L.,Bolelli S.,Bolelli S.
2015-02-18,Stakhovsky S.,Struff J.L.,Stakhovsky S.
2015-02-18,Kuznetsov An.,Monfils G.,Monfils G.
